Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-15 00:00:00,6185.04,6203.21,6149.28,6191.78,275.85,1704368.65,6178.59
2018-10-15 01:00:00,6195.26,6213.6,6187.59,6209.72,135.5,840089.56,6199.94
2018-10-15 02:00:00,6205.52,6209.93,6197.01,6200.63,39.37,244189.66,6203.08
2018-10-15 03:00:00,6200.63,6215.12,6200.63,6215.1,43.88,272531.98,6210.44
2018-10-15 04:00:00,6215.1,6220,6206,6209.3,77.69,482840.94,6214.77
2018-10-15 05:00:00,6206.01,6413.2,6198.36,6359.45,1573.74,9924012.23,6306.01
2018-10-15 06:00:00,6359.46,6756,6359.44,6667.26,4962.42,32708359.33,6591.21
2018-10-15 07:00:00,6662.33,6670,6410.17,6410.17,2289.77,14885477.46,6500.85
2018-10-15 08:00:00,6409.46,6469.86,6379,6409.87,1151.11,7394138.39,6423.49
2018-10-15 09:00:00,6415,6439.17,6365.34,6425.79,1223.75,7835102.26,6402.52
2018-10-15 10:00:00,6420.84,6455.74,6400.21,6423.89,399.95,2569839.71,6425.39
2018-10-15 11:00:00,6423.89,6452.19,6390.03,6412.76,451.44,2899157.7,6422.08
2018-10-15 12:00:00,6412.38,6419.84,6381.25,6410,375.93,2407164.77,6403.19
2018-10-15 13:00:00,6410,6416.67,6381.25,6395.54,732.18,4684911.58,6398.57
2018-10-15 14:00:00,6395.55,6405.96,6359.78,6376.98,479.1,3057561.83,6381.89
2018-10-15 15:00:00,6374.88,6404.1,6374.16,6392.59,197.29,1260610,6389.58
2018-10-15 16:00:00,6392.42,6427,6390.32,6417.43,458.37,2939758.45,6413.52
2018-10-15 17:00:00,6415,6424.13,6398,6400.24,406.64,2606239.08,6409.22
2018-10-15 18:00:00,6398.01,6420.6,6379.69,6397.07,278.31,1781952.44,6402.85
2018-10-15 19:00:00,6397.4,6411.79,6387.03,6390,201.17,1287759.34,6401.24
2018-10-15 20:00:00,6389.98,6415.73,6359.56,6391.4,427.32,2725795.34,6378.89
2018-10-15 21:00:00,6388.3,6410.5,6380.1,6393.54,276.8,1770156.3,6394.96
2018-10-15 22:00:00,6388.77,6445.31,6388.77,6426.11,250.7,1611420.67,6427.58
2018-10-15 23:00:00,6425.69,6457.94,6424.13,6441.74,187.6,1207649.52,6437.42
2018-10-16 00:00:00,6438.2,6439.33,6412.95,6429,95.26,611780.58,6422.13
2018-10-16 01:00:00,6432.73,6438.01,6416.41,6425.48,105.93,680774.8,6426.95
2018-10-16 02:00:00,6425.06,6430,6417.78,6429.99,70.68,454194.3,6426.37
2018-10-16 03:00:00,6429.99,6440,6416.53,6420,120.22,772527.64,6425.82
2018-10-16 04:00:00,6424.46,6434,6420,6424.05,113.23,727605.66,6425.78
2018-10-16 05:00:00,6424.05,6490,6422.89,6474.62,371.01,2394338.75,6453.51
2018-10-16 06:00:00,6475,6493.77,6442.29,6452.33,288.33,1865222.47,6468.97
2018-10-16 07:00:00,6449.08,6467.11,6444.37,6448.86,114.39,737987.5,6451.67
2018-10-16 08:00:00,6449.68,6454.09,6413.2,6435.09,377.31,2424770.51,6426.46
2018-10-16 09:00:00,6435.19,6444,6425.53,6430.38,377.33,2427241.92,6432.64
2018-10-16 10:00:00,6430.47,6437.21,6423,6436.52,383.83,2468514.78,6431.24
2018-10-16 11:00:00,6436.34,6454.22,6426.58,6451.54,131.17,844346.59,6437.28
2018-10-16 12:00:00,6451.54,6452.19,6422.26,6437.13,89,573024.78,6438.38
2018-10-16 13:00:00,6436.03,6469.15,6436.03,6449.68,190.27,1227863.14,6453.1
2018-10-16 14:00:00,6444.27,6450.27,6430,6437.18,83.51,537702.1,6438.68
2018-10-16 15:00:00,6437.17,6449.04,6432.51,6437.01,116.57,750588.81,6438.82
2018-10-16 16:00:00,6439,6439.39,6386.4,6419.47,271.52,1741001.61,6412.15
2018-10-16 17:00:00,6420.24,6433.17,6412.36,6430.42,101.01,648864.3,6424.04
2018-10-16 18:00:00,6427.65,6438.82,6424.2,6435,64.48,414728.25,6432.02
2018-10-16 19:00:00,6432.5,6437.79,6415.5,6436.87,313.98,2018508.99,6428.79
2018-10-16 20:00:00,6435.53,6473.74,6435,6455.93,369.06,2379899.98,6448.5
2018-10-16 21:00:00,6456.88,6460.64,6436.73,6457.2,189.43,1221357.94,6447.68
2018-10-16 22:00:00,6460.3,6469.92,6430.94,6450.17,115.8,746647.36,6447.84
2018-10-16 23:00:00,6450.17,6489,6440.82,6461.2,249.77,1615897.86,6469.42
2018-10-17 00:00:00,6457.67,6464.73,6438.67,6457.69,130.42,841441.57,6451.9
2018-10-17 01:00:00,6456.75,6465.39,6444.2,6450.43,138.39,893441.66,6456.06
2018-10-17 02:00:00,6443.36,6449,6432.33,6440.77,75.62,487026.39,6440.46
2018-10-17 03:00:00,6443.02,6454.9,6440.48,6451.24,131.85,849955.04,6446.25
2018-10-17 04:00:00,6452.41,6452.63,6442.8,6450.31,69.37,447365.16,6449.24
2018-10-17 05:00:00,6451.76,6460.54,6440.06,6446.92,192.33,1240427.16,6449.44
2018-10-17 06:00:00,6446.92,6449.1,6436.19,6436.35,43.99,283476.85,6443.61
2018-10-17 07:00:00,6436.35,6444.9,6421.06,6432.3,129.64,834190.68,6434.48
2018-10-17 08:00:00,6432.12,6441.97,6428.89,6441.97,138.16,889210.24,6436.25
2018-10-17 09:00:00,6442.41,6446.82,6413.2,6434.99,315.82,2032198.91,6434.7
2018-10-17 10:00:00,6434.99,6436.01,6419,6421.96,200.15,1286112.8,6425.71
2018-10-17 11:00:00,6420.89,6440,6407.69,6440,315.74,2028614.68,6424.86
2018-10-17 12:00:00,6439.79,6442.34,6419.47,6428.38,171.44,1102166.75,6428.7
2018-10-17 13:00:00,6429.72,6429.72,6410.01,6423.76,141.48,908285.65,6419.87
2018-10-17 14:00:00,6423.43,6446.84,6419.08,6433.74,98.51,633814.11,6434.22
2018-10-17 15:00:00,6433.75,6443.83,6424.85,6440.57,78.34,504099,6435.01
2018-10-17 16:00:00,6444.29,6448.74,6438.16,6448.3,69.8,449722.7,6443.2
2018-10-17 17:00:00,6445.66,6448.89,6438.35,6441.95,20,128894.94,6443.51
2018-10-17 18:00:00,6444.03,6444.37,6434.17,6440,70.14,451544.67,6437.86
2018-10-17 19:00:00,6440,6447.46,6429.78,6431.78,101.34,652636.42,6439.92
2018-10-17 20:00:00,6428.4,6443.07,6412.43,6439.44,174.77,1123166.14,6426.54
2018-10-17 21:00:00,6434.06,6451.79,6429.55,6443.15,76.95,495620.3,6440.5
2018-10-17 22:00:00,6443.08,6453.16,6435.92,6438.71,56.45,363759.51,6444.42
2018-10-17 23:00:00,6438.71,6444.82,6433.49,6437.29,20.56,132357.48,6438.34
2018-10-18 00:00:00,6440.07,6442.32,6433,6438.59,61.61,396532.31,6436.63
2018-10-18 01:00:00,6440.44,6443.28,6435.1,6443.2,31.06,200014.43,6439.6
2018-10-18 02:00:00,6443.19,6447.95,6440.78,6447.95,44.55,287081.61,6443.61
2018-10-18 03:00:00,6447.95,6490,6445.82,6463.09,282.15,1826026.71,6471.87
2018-10-18 04:00:00,6459.38,6464.92,6449.31,6456.21,69.49,448706.03,6457.41
2018-10-18 05:00:00,6452.65,6458.68,6441.81,6450,56.48,364092.73,6446.63
2018-10-18 06:00:00,6449.99,6450,6440,6447.49,120.83,778667.54,6444.5
2018-10-18 07:00:00,6444.69,6453.01,6436.76,6444.92,138.35,891582.83,6444.56
2018-10-18 08:00:00,6444.94,6444.94,6413.2,6438.59,345.09,2219414.51,6431.48
2018-10-18 09:00:00,6437.71,6448.99,6435.5,6443.2,117.73,758606.79,6443.78
2018-10-18 10:00:00,6442.87,6450,6440,6446.56,106.34,685511.6,6446.15
2018-10-18 11:00:00,6446.56,6454,6425,6433.37,201.22,1295579.57,6438.53
2018-10-18 12:00:00,6432.5,6444.5,6431.69,6434.22,159.79,1028684.72,6437.79
2018-10-18 13:00:00,6436.33,6437.38,6427,6436.71,66.25,426132.25,6431.84
2018-10-18 14:00:00,6436.72,6447.55,6432.72,6442.29,109.34,704139.53,6440.04
2018-10-18 15:00:00,6441.69,6444.55,6422.45,6444.55,153.28,986171.42,6433.64
2018-10-18 16:00:00,6442.01,6444,6429,6432.21,116.24,748288.83,6437.35
2018-10-18 17:00:00,6429.74,6432.21,6350,6392.63,701.2,4480182.79,6389.27
2018-10-18 18:00:00,6392.64,6410,6371.19,6386.39,202.61,1294645.51,6389.91
2018-10-18 19:00:00,6386.39,6399.93,6368.84,6399.93,112.28,716690.98,6383.21
2018-10-18 20:00:00,6399.93,6402.98,6380.1,6390,103.61,662000.38,6389.47
2018-10-18 21:00:00,6393.03,6394.02,6365.34,6370.03,148.79,949000.52,6378.05
2018-10-18 22:00:00,6370.03,6390.94,6355.34,6381.29,227.47,1449197.58,6370.82
2018-10-18 23:00:00,6381.57,6410,6381.57,6396.18,147.42,942651.54,6394.53
2018-10-19 00:00:00,6394.23,6412.4,6390.79,6401.59,71,454507.81,6401.7
2018-10-19 01:00:00,6402.75,6404.78,6380.77,6383.49,117.06,748105,6390.69
2018-10-19 02:00:00,6383.1,6408.84,6383.1,6395.14,62.65,400808.28,6397.5
2018-10-19 03:00:00,6395,6400.58,6384.86,6391.05,82.16,525222.42,6392.87
2018-10-19 04:00:00,6392.78,6401.74,6390.13,6398.38,35.32,225864.11,6394.15
2018-10-19 05:00:00,6398.38,6398.38,6369.79,6369.98,107.01,682819.4,6380.86
2018-10-19 06:00:00,6369.98,6377.35,6359.29,6362.93,65.19,415102.05,6367.23
2018-10-19 07:00:00,6362.95,6376.55,6358.5,6360.68,106.03,675173.78,6367.6
2018-10-19 08:00:00,6359.02,6390,6355.99,6382.97,183.74,1171736.82,6377.08
2018-10-19 09:00:00,6379.54,6394.88,6375,6377.88,84.76,541175.41,6384.85
2018-10-19 10:00:00,6375.1,6402.24,6375.1,6394.33,148.07,946179.24,6389.89
2018-10-19 11:00:00,6384.59,6392.03,6378.77,6388.21,103.97,663817.42,6384.96
2018-10-19 12:00:00,6389.45,6389.45,6361.1,6376.98,168,1070815.55,6374.09
2018-10-19 13:00:00,6377.54,6391,6372.59,6383.31,115.92,739518.92,6379.57
2018-10-19 14:00:00,6383.31,6388.61,6372.44,6374,114.19,728500.36,6379.49
2018-10-19 15:00:00,6374,6388.1,6368.31,6385.58,121.45,774811.59,6379.55
2018-10-19 16:00:00,6385,6397.21,6376,6391.31,136.85,874476.03,6390.1
2018-10-19 17:00:00,6388,6393.27,6379.52,6390.46,74.44,475468.97,6387.6
2018-10-19 18:00:00,6388.01,6396.58,6387.6,6396.58,66.07,422410.2,6393.56
2018-10-19 19:00:00,6396.57,6396.58,6379.81,6386.45,113.23,723360.28,6388.22
2018-10-19 20:00:00,6386.45,6388.03,6375,6381.24,112.03,714794.15,6380.59
2018-10-19 21:00:00,6381.24,6393.09,6381.08,6384.17,40.49,258606.06,6386.48
2018-10-19 22:00:00,6384.17,6395,6380,6382.34,39.28,250766.51,6384.38
2018-10-19 23:00:00,6382.34,6389.5,6380.46,6383.46,21.14,134999.23,6384.62
2018-10-20 00:00:00,6380.47,6381.84,6363.33,6367.31,32.81,209026.96,6370.75
2018-10-20 01:00:00,6367.31,6393.52,6363.02,6385.31,71.52,456245.66,6379.69
2018-10-20 02:00:00,6385.31,6400,6378,6378.56,71.02,453996.76,6392.34
2018-10-20 03:00:00,6378,6389.44,6373.73,6379.19,28.68,182953.5,6379.89
2018-10-20 04:00:00,6383.33,6388.93,6380.67,6387.81,7.3,46592.68,6383.5
2018-10-20 05:00:00,6387.58,6389.44,6384.16,6389.44,100.05,639016.75,6387.09
2018-10-20 06:00:00,6389.44,6424.16,6387.03,6408.48,216.81,1389304.84,6407.94
2018-10-20 07:00:00,6409.1,6416,6399.09,6408.26,73.06,468093.28,6406.72
2018-10-20 08:00:00,6408.26,6415.29,6393.63,6399.32,145.67,932971.16,6404.71
2018-10-20 09:00:00,6409,6417.6,6395.8,6401.34,42.9,274628.78,6402.16
2018-10-20 10:00:00,6400.85,6405.71,6392.3,6403.56,42.55,272262.57,6399.33
2018-10-20 11:00:00,6403.56,6412.42,6400.24,6411.52,30.56,195797.65,6407.08
2018-10-20 12:00:00,6411.52,6411.52,6397.41,6404.86,10.02,64184.44,6404.2
2018-10-20 13:00:00,6404.86,6410.92,6404.86,6408.04,13.36,85640.89,6408.22
2018-10-20 14:00:00,6408.04,6408.04,6399.77,6403.83,27.15,173794.43,6401.12
2018-10-20 15:00:00,6403.83,6405,6392.27,6397.15,47.83,306135.46,6400.13
2018-10-20 16:00:00,6393.24,6402.71,6390,6399.84,55.78,356830.69,6396.69
2018-10-20 17:00:00,6399.84,6401.25,6387,6394.83,38.94,248931,6393.02
2018-10-20 18:00:00,6397.52,6398.99,6387,6394.09,42.13,269254.7,6391.23
2018-10-20 19:00:00,6392.87,6399.61,6387,6399.17,45.35,289875.75,6391.52
2018-10-20 20:00:00,6399.17,6406.03,6399.17,6403.9,18.78,120238.66,6403.86
2018-10-20 21:00:00,6406.06,6406.22,6402.9,6403,33.62,215281.39,6403.75
2018-10-20 22:00:00,6403,6413.56,6393.59,6409.68,37.87,242448.44,6401.45
2018-10-20 23:00:00,6409.65,6416.67,6397.92,6412.86,28.22,180707.16,6403.02
2018-10-21 00:00:00,6412.86,6423.36,6405.35,6423.36,17.33,111219.02,6416.15
2018-10-21 01:00:00,6423.35,6470,6415.79,6437.97,229.96,1481617.24,6442.96
2018-10-21 02:00:00,6435.87,6440.34,6420.26,6429.82,77.2,496403.56,6430.27
2018-10-21 03:00:00,6429.82,6437.55,6425.57,6437.55,16.96,109056.21,6430.67
2018-10-21 04:00:00,6437.55,6439.01,6425.51,6429.4,31.94,205464.61,6432.87
2018-10-21 05:00:00,6429.38,6429.39,6423.21,6427.99,8.87,56994.95,6426.72
2018-10-21 06:00:00,6427.99,6430.28,6425.23,6425.23,11.84,76113.23,6427.94
2018-10-21 07:00:00,6427.55,6431.69,6426.72,6429,64.78,416487.4,6429.1
2018-10-21 08:00:00,6427.71,6434.18,6423.6,6434.18,46.78,300742.26,6428.85
2018-10-21 09:00:00,6434.18,6449.1,6432.8,6444.66,21.71,139805.09,6438.46
2018-10-21 10:00:00,6442.05,6451.33,6441.1,6444.66,22.3,143746.44,6446.36
2018-10-21 11:00:00,6441.35,6444.91,6421.48,6431.53,93.78,603036.7,6430.31
2018-10-21 12:00:00,6431.53,6442,6427.49,6436.17,29.9,192438.98,6435.21
2018-10-21 13:00:00,6438.32,6457.06,6432.17,6445.66,154.94,997909.62,6440.82
2018-10-21 14:00:00,6449.33,6457.07,6442.4,6445.91,60.17,387956.4,6447.53
2018-10-21 15:00:00,6445.39,6445.95,6435.08,6440.97,146.82,945776.19,6441.76
2018-10-21 16:00:00,6445.18,6445.95,6436.71,6437.43,41.75,268902.01,6440.94
2018-10-21 17:00:00,6437.43,6444.98,6428,6439.36,64.78,416802.43,6433.79
2018-10-21 18:00:00,6441.29,6441.3,6431.99,6436.16,46.41,298763.59,6437.58
2018-10-21 19:00:00,6436.16,6442.67,6432.67,6438.89,39.2,252316,6436.97
2018-10-21 20:00:00,6434.81,6438.9,6433.33,6437.22,5.44,34988.56,6435.69
2018-10-21 21:00:00,6437.21,6437.35,6430.6,6434.62,21.56,138754.88,6435.93
2018-10-21 22:00:00,6426.01,6435.02,6405.24,6413.56,109.6,703531.74,6418.91
2018-10-21 23:00:00,6414.14,6421.81,6401.01,6413.38,176.99,1135153.45,6413.71
2018-10-22 00:00:00,6412.62,6412.62,6388.99,6406.94,124.36,796008.97,6400.81
2018-10-22 01:00:00,6405.57,6421.48,6400.58,6418.43,69.11,443320.81,6414.49
2018-10-22 02:00:00,6418.43,6418.43,6410,6410.86,43.68,280129.71,6413.51
2018-10-22 03:00:00,6411.1,6413.73,6405.06,6413.72,28.89,185223.26,6410.99
2018-10-22 04:00:00,6413.22,6429.23,6412.05,6419.66,132.42,850392.77,6422
2018-10-22 05:00:00,6419.66,6427.16,6419.18,6419.18,34.79,223400.44,6421.63
2018-10-22 06:00:00,6419.18,6422.2,6415.6,6417.79,62.21,399394.6,6420.56
2018-10-22 07:00:00,6417.79,6420.28,6401,6408.64,138.78,889889.78,6412.35
2018-10-22 08:00:00,6407.92,6410.42,6393.36,6396.82,234.15,1498409.78,6399.27
2018-10-22 09:00:00,6399.99,6407.58,6397.5,6398.53,103.4,662035.59,6402.51
2018-10-22 10:00:00,6398.35,6414.27,6394.66,6400.69,162.58,1040691.69,6401.21
2018-10-22 11:00:00,6400,6404.86,6397.3,6399.55,103.44,661983.97,6399.55
2018-10-22 12:00:00,6399.55,6403.41,6390.28,6399.01,45.99,294218.99,6396.8
2018-10-22 13:00:00,6399.01,6402.9,6372.53,6400.22,220.53,1408427.08,6386.55
2018-10-22 14:00:00,6400.22,6403.57,6384.97,6392.14,90.94,581330.06,6392.76
2018-10-22 15:00:00,6392.14,6409.12,6390.11,6394.84,131.48,841707.77,6401.63
2018-10-22 16:00:00,6394.84,6407.69,6394.84,6404,120.06,768275.99,6399.2
2018-10-22 17:00:00,6404,6409.75,6396.99,6402.05,94.65,606125.51,6403.75
2018-10-22 18:00:00,6402,6404.75,6390.18,6391.17,78.9,504784.61,6397.49
2018-10-22 19:00:00,6394.6,6398.38,6385.84,6389.73,89.73,573544.33,6391.92
2018-10-22 20:00:00,6390.85,6415,6388.18,6413.05,128.51,822862.9,6403.28
2018-10-22 21:00:00,6408.08,6415,6397.52,6402.16,54.98,352273.15,6407.46
2018-10-22 22:00:00,6402.47,6411.91,6398.82,6408.54,37.17,238096.77,6405.35
2018-10-22 23:00:00,6406.41,6415,6402.89,6406.06,76.78,492185.55,6410.06
2018-10-23 00:00:00,6409.39,6414.72,6403.11,6409.85,50.7,325023.29,6410.25
2018-10-23 01:00:00,6410.3,6419.34,6409.08,6409.22,42.9,275075.34,6412.75
2018-10-23 02:00:00,6411.36,6411.68,6403.68,6410.85,28.11,180088.75,6407.49
2018-10-23 03:00:00,6410.85,6412.37,6383.9,6394.62,139.64,892956.31,6394.69
2018-10-23 04:00:00,6394.62,6406.34,6391.71,6406.33,52.53,336048.25,6397.04
2018-10-23 05:00:00,6406.33,6408,6395.43,6400.12,92.62,593029.47,6402.79
2018-10-23 06:00:00,6402.09,6404.95,6393.5,6400,77.1,493283.59,6397.92
2018-10-23 07:00:00,6400,6403.63,6394.46,6397.07,174.42,1116184.3,6399.54
2018-10-23 08:00:00,6397.08,6404.32,6395.97,6402.2,90.93,582069.32,6401.08
2018-10-23 09:00:00,6401,6404.8,6372,6387.2,215.02,1373272.36,6386.84
2018-10-23 10:00:00,6386.28,6390.01,6354.26,6375.97,273.23,1741830.35,6374.99
2018-10-23 11:00:00,6375.97,6383,6371,6376.33,129.51,825962.51,6377.39
2018-10-23 12:00:00,6376.34,6394,6372.74,6392.61,61.48,392635.14,6386.22
2018-10-23 13:00:00,6392.62,6402.5,6385.15,6391.49,170.87,1092377.62,6393.17
2018-10-23 14:00:00,6388.65,6392.78,6379.37,6384.49,66.25,422995.92,6384.82
2018-10-23 15:00:00,6384.36,6401,6383.98,6387.31,110.34,704920.7,6388.42
2018-10-23 16:00:00,6387.31,6400.04,6387,6397.18,146.37,935795.86,6393.26
2018-10-23 17:00:00,6394,6397.33,6381.5,6385.61,101.25,646617.12,6386.11
2018-10-23 18:00:00,6384.01,6401.03,6383.7,6392.04,148.02,946287.63,6393.13
2018-10-23 19:00:00,6396.47,6421.58,6389.2,6406.87,359.7,2305149.24,6408.51
2018-10-23 20:00:00,6404.01,6409.58,6389.27,6391.25,120.14,768778.06,6398.97
2018-10-23 21:00:00,6391.25,6405,6389.27,6394.3,57.37,367003.43,6396.73
2018-10-23 22:00:00,6394.3,6398.73,6385,6387.92,76.18,486881.16,6391.55
2018-10-23 23:00:00,6387.25,6405,6387.25,6393.41,66.32,424236.84,6396.4
2018-10-24 00:00:00,6396.24,6405,6393,6402.58,88.06,563685.24,6401.08
2018-10-24 01:00:00,6402.59,6411.9,6398.73,6399.97,92.08,589752.3,6404.78
2018-10-24 02:00:00,6402.71,6410.07,6397.47,6409.83,86.22,552129.64,6403.69
2018-10-24 03:00:00,6409.83,6427,6402.62,6417.11,205.41,1317465.32,6413.82
2018-10-24 04:00:00,6416.73,6473,6402.13,6458.28,471.24,3035732.62,6441.95
2018-10-24 05:00:00,6454.1,6459.24,6436.74,6441.19,115.42,744361.05,6449.02
2018-10-24 06:00:00,6438.66,6450.18,6433.8,6433.8,430.71,2776625.61,6446.61
2018-10-24 07:00:00,6431.19,6439.6,6427.28,6437.51,79.7,512585.89,6431.27
2018-10-24 08:00:00,6436.48,6439.5,6427.95,6429.53,81.46,524048.48,6432.83
2018-10-24 09:00:00,6431.05,6434.25,6422.97,6433.62,176.59,1135371.69,6429.31
2018-10-24 10:00:00,6433.62,6451.64,6433.25,6439.2,185.49,1195365.5,6444.3
2018-10-24 11:00:00,6439,6439,6420.87,6425.72,113.37,728851.57,6428.93
2018-10-24 12:00:00,6427.4,6436.11,6422.24,6435.41,102.08,656300.48,6429.42
2018-10-24 13:00:00,6436.11,6442.98,6427.94,6440.01,108.6,699065.36,6437.32
2018-10-24 14:00:00,6440.01,6440.08,6427.5,6433.98,169.44,1090230.25,6434.37
2018-10-24 15:00:00,6433.61,6436.16,6413.59,6419,187.24,1202638.15,6423.08
2018-10-24 16:00:00,6414.89,6428.48,6413.2,6421.06,96.49,619701.15,6422.24
